================================================================================
ANÁLISIS COMPLETO DE RENDIMIENTO DE ALGORITMOS DE ORDENAMIENTO
================================================================================

INFORMACIÓN GENERAL:
- Total de pruebas realizadas: 1000
- Rango de tamaños: 1,000 a 1,000,000 elementos
- Incremento: 1,000 elementos
- Fecha de ejecución: 1/10/2025, 08:00:43

================================================================================
TABLA COMPLETA DE RESULTADOS:
================================================================================
Tamaño         Elementos   Descendente (ms)    Aleatorio (ms)
--------------------------------------------------------------------------------
351,000        351         0.0061              0.0033
352,000        352         0.0062              0.0035
353,000        353         0.0062              0.0036
354,000        354         0.0063              0.0034
355,000        355         0.0063              0.0035
356,000        356         0.0063              0.0035
357,000        357         0.0062              0.0034
358,000        358         0.0064              0.0037
359,000        359         0.0065              0.0036
360,000        360         0.0069              0.0038
361,000        361         0.0065              0.0034
362,000        362         0.0064              0.0036
363,000        363         0.0063              0.0035
364,000        364         0.0064              0.0035
365,000        365         0.0066              0.0037
366,000        366         0.0065              0.0040
367,000        367         0.0067              0.0035
368,000        368         0.0072              0.0037
369,000        369         0.0383              0.0036
370,000        370         0.0066              0.0036
371,000        371         0.0065              0.0036
372,000        372         0.0069              0.0037
373,000        373         0.0066              0.0037
374,000        374         0.0065              0.0042
375,000        375         0.0067              0.0036
376,000        376         0.0067              0.0037
377,000        377         0.0066              0.0037
378,000        378         0.0066              0.0035
379,000        379         0.0066              0.0038
380,000        380         0.0068              0.0037
381,000        381         0.0092              0.0039
382,000        382         0.0071              0.0037
383,000        383         0.0072              0.0040
384,000        384         0.0068              0.0039
385,000        385         0.0071              0.0037
386,000        386         0.0069              0.0038
387,000        387         0.0069              0.0037
388,000        388         0.0072              0.0038
389,000        389         0.0070              0.0037
390,000        390         0.0069              0.0038
391,000        391         0.0418              0.0043
392,000        392         0.0061              0.0038
393,000        393         0.0059              0.0044
394,000        394         0.0062              0.0039
395,000        395         0.0060              0.0037
396,000        396         0.0061              0.0042
397,000        397         0.0060              0.0040
398,000        398         0.0060              0.0038
399,000        399         0.0061              0.0040
400,000        400         0.0080              0.0038
401,000        401         0.0080              0.0044
402,000        402         0.1024              0.0045
403,000        403         0.0063              0.0040
404,000        404         0.0062              0.0038
405,000        405         0.0061              0.0041
406,000        406         0.0061              0.0038
407,000        407         0.0091              0.0039
408,000        408         0.0065              0.0039
409,000        409         0.0062              0.0040
410,000        410         0.0064              0.0046
411,000        411         0.0068              0.0045
412,000        412         0.0063              0.0040
413,000        413         0.0064              0.0041
414,000        414         0.0066              0.0039
415,000        415         0.0063              0.0049
416,000        416         0.0063              0.0040
417,000        417         0.0064              0.0046
418,000        418         0.0063              0.0039
419,000        419         0.0064              0.0041
420,000        420         0.0063              0.0042
421,000        421         0.0064              0.0040
422,000        422         0.0065              0.0039
423,000        423         0.0064              0.0047
424,000        424         0.0068              0.0043
425,000        425         0.0063              0.0042
426,000        426         0.0064              0.0041
427,000        427         0.0093              0.0041
428,000        428         0.0065              0.0044
429,000        429         0.0065              0.0042
430,000        430         0.0066              0.0043
431,000        431         0.0069              0.0040
432,000        432         0.0064              0.0044
433,000        433         0.0064              0.0044
434,000        434         0.0066              0.0046
435,000        435         0.0066              0.0774
436,000        436         0.0070              0.0042
437,000        437         0.0066              0.0043
438,000        438         0.0066              0.0041
439,000        439         0.0067              0.0043
440,000        440         0.0066              0.0069
441,000        441         0.0091              0.0047
442,000        442         0.0066              0.0042
443,000        443         0.0072              0.0042
444,000        444         0.0066              0.0043
445,000        445         0.0067              0.0042
446,000        446         0.0067              0.0041
447,000        447         0.0067              0.0043
448,000        448         0.0067              0.0046
449,000        449         0.0067              0.0044
450,000        450         0.0070              0.0047
451,000        451         0.0069              0.0044
452,000        452         0.0067              0.0043
453,000        453         0.0068              0.0043
454,000        454         0.0068              0.0051
455,000        455         0.0067              0.0043
456,000        456         0.0066              0.0044
457,000        457         0.0068              0.0044
458,000        458         0.0070              0.0043
459,000        459         0.0069              0.0045
460,000        460         0.0088              0.0043
461,000        461         0.0069              0.0048
462,000        462         0.0069              0.0044
463,000        463         0.0069              0.0046
464,000        464         0.0069              0.0044
465,000        465         0.0070              0.0046
466,000        466         0.0071              0.0045
467,000        467         0.0069              0.0743
468,000        468         0.0072              0.0045
469,000        469         0.0071              0.0046
470,000        470         0.0072              0.0046
471,000        471         0.0070              0.0044
472,000        472         0.0071              0.0044
473,000        473         0.0070              0.0045
474,000        474         0.0090              0.0044
475,000        475         0.0071              0.0044
476,000        476         0.0074              0.0045
477,000        477         0.0071              0.0045
478,000        478         0.0071              0.0045
479,000        479         0.0072              0.0045
480,000        480         0.0071              0.0046
481,000        481         0.0075              0.0045
482,000        482         0.0070              0.0050
483,000        483         0.0072              0.0045
484,000        484         0.0072              0.0050
485,000        485         0.0073              0.0046
486,000        486         0.0072              0.0046
487,000        487         0.0073              0.0046
488,000        488         0.0072              0.0046
489,000        489         0.0074              0.0046
490,000        490         0.0074              0.0050
491,000        491         0.0073              0.0046
492,000        492         0.0088              0.0050
493,000        493         0.0074              0.0045
494,000        494         0.0073              0.0048
495,000        495         0.0073              0.0046
496,000        496         0.0073              0.0049
497,000        497         0.0074              0.0045
498,000        498         0.0080              0.0050
499,000        499         0.0075              0.0047
500,000        500         0.0075              0.0047
501,000        501         0.0092              0.0049
502,000        502         0.0075              0.0046
503,000        503         0.0074              0.0048
504,000        504         0.0075              0.0048
505,000        505         0.0076              0.0050
506,000        506         0.0075              0.0047
507,000        507         0.0075              0.0049
508,000        508         0.0075              0.0047
509,000        509         0.0077              0.0048
510,000        510         0.0076              0.0047
511,000        511         0.0076              0.0049
512,000        512         0.0077              0.0047
513,000        513         0.0077              0.0049
514,000        514         0.0076              0.0072
515,000        515         0.0076              0.0049
516,000        516         0.0077              0.0048
517,000        517         0.0077              0.0049
518,000        518         0.0076              0.0048
519,000        519         0.0078              0.0051
520,000        520         0.0077              0.0056
521,000        521         0.0077              0.0049
522,000        522         0.0078              0.0048
523,000        523         0.0078              0.0049
524,000        524         0.0078              0.0050
525,000        525         0.0080              0.0049
526,000        526         0.0078              0.0051
527,000        527         0.0078              0.0049
528,000        528         0.0090              0.0052
529,000        529         0.0083              0.0058
530,000        530         0.0083              0.0053
531,000        531         0.0088              0.0063
532,000        532         0.0090              0.0070
533,000        533         0.0080              0.0080
534,000        534         0.0096              0.0085
535,000        535         0.0081              0.0070
536,000        536         0.0093              0.0111
537,000        537         0.0244              0.0064
538,000        538         0.0089              0.0061
539,000        539         0.0094              0.0100
540,000        540         0.0104              0.0082
541,000        541         0.0092              0.0116
542,000        542         0.0096              0.0089
543,000        543         0.0087              0.0093
544,000        544         0.0088              0.0065
545,000        545         0.0091              0.0056
546,000        546         0.0085              0.0051
547,000        547         0.0083              0.0076
548,000        548         0.0082              0.0051
549,000        549         0.0086              0.0054
550,000        550         0.0082              0.0197
551,000        551         0.0125              0.0054
552,000        552         0.0294              0.0052
553,000        553         0.0226              0.0571
554,000        554         0.0093              0.0063
555,000        555         0.0087              0.0059
556,000        556         0.0106              0.0074
557,000        557         0.0098              0.0078
558,000        558         0.0101              0.0077
559,000        559         0.0126              0.0057
560,000        560         0.0090              0.0088
561,000        561         0.0090              0.0073
562,000        562         0.0149              0.0060
563,000        563         0.0107              0.0062
564,000        564         0.0089              0.0066
565,000        565         0.0094              0.0062
566,000        566         0.0098              0.0059
567,000        567         0.0088              0.0063
568,000        568         0.0090              0.0066
569,000        569         0.0094              0.0058
570,000        570         0.0240              0.0056
571,000        571         0.0095              0.0056
572,000        572         0.0115              0.0092
573,000        573         0.0101              0.0064
574,000        574         0.0114              0.0057
575,000        575         0.0095              0.0319
576,000        576         0.0112              0.0056
577,000        577         0.0088              0.0229
578,000        578         0.0100              0.0064
579,000        579         0.0312              0.1098
580,000        580         0.0096              0.0063
581,000        581         0.0091              0.0062
582,000        582         0.0095              0.0063
583,000        583         0.0127              0.0059
584,000        584         0.0224              0.0058
585,000        585         0.0223              0.0058
586,000        586         0.0228              0.0194
587,000        587         0.0089              0.0056
588,000        588         0.0089              0.0062
589,000        589         0.0093              0.0062
590,000        590         0.0097              0.0068
591,000        591         0.0099              0.0060
592,000        592         0.0229              0.0058
593,000        593         0.0093              0.0063
594,000        594         0.0088              0.0059
595,000        595         0.0096              0.0067
596,000        596         0.0098              0.0062
597,000        597         0.0113              0.0061
598,000        598         0.0096              0.0063
